Feature,Coefficient
Internet_Access,0.9672149142016842
Extracurricular_Activities,0.570481244385017
Peer_Influence,0.5309421462014573
Tutoring_Sessions,0.5031383676403056
Distance_from_Home,0.4691784982526956
Hours_Studied,0.2886251314888975
Attendance,0.1977734322967573
Parental_Education_Level,0.1765860023614733
Physical_Activity,0.17176811951504092
Previous_Scores,0.048115961779241406
Gender,-0.017412582716919943
Sleep_Hours,-0.029229220248038607
School_Type,-0.03326508313511455
Motivation_Level,-0.15451691944810778
Family_Income,-0.16460263675869657
Teacher_Quality,-0.23598977863560305
Access_to_Resources,-0.40501338756769695
Parental_Involvement,-0.4490583120222296
Learning_Disabilities,-0.8749208293835704
